filename,title,memory,workers,total_executions
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,7,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,8,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,9,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,10,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,12,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,16,8
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,20,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,24,9
titanic_stage_aws_1024Mb_arm,titanic_stage_aws_1024Mb_arm,1024,28,9
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,4,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,5,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,6,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,7,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,8,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,9,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,10,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,12,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,16,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,20,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,24,10
titanic_stage_aws_1024Mb_x86,titanic_stage_aws_1024Mb_x86,1024,28,11
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,4,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,5,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,6,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,7,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,8,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,9,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,10,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,12,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,16,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,20,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,24,10
titanic_stage_aws_2048Mb_arm,titanic_stage_aws_2048Mb_arm,2048,28,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,4,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,5,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,6,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,7,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,8,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,9,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,10,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,12,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,16,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,20,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,24,10
titanic_stage_aws_2048Mb_x86,titanic_stage_aws_2048Mb_x86,2048,28,10
titanic_stage_aws_512Mb_arm,titanic_stage_aws_512Mb_arm,512,12,5
titanic_stage_aws_512Mb_arm,titanic_stage_aws_512Mb_arm,512,16,5
titanic_stage_aws_512Mb_arm,titanic_stage_aws_512Mb_arm,512,20,5
titanic_stage_aws_512Mb_arm,titanic_stage_aws_512Mb_arm,512,24,5
titanic_stage_aws_512Mb_arm,titanic_stage_aws_512Mb_arm,512,28,5
titanic_stage_aws_512Mb_x86,titanic_stage_aws_512Mb_x86,512,12,17
titanic_stage_aws_512Mb_x86,titanic_stage_aws_512Mb_x86,512,16,17
titanic_stage_aws_512Mb_x86,titanic_stage_aws_512Mb_x86,512,20,17
titanic_stage_aws_512Mb_x86,titanic_stage_aws_512Mb_x86,512,24,17
titanic_stage_aws_512Mb_x86,titanic_stage_aws_512Mb_x86,512,28,17
video_stage0_aws_1024Mb_arm,video_stage0_aws_1024Mb_arm,1024,4,8
video_stage0_aws_1024Mb_arm,video_stage0_aws_1024Mb_arm,1024,5,13
video_stage0_aws_1024Mb_arm,video_stage0_aws_1024Mb_arm,1024,6,12
video_stage0_aws_1024Mb_arm,video_stage0_aws_1024Mb_arm,1024,7,12
