Architecture,Memory_MB,Workers,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
x86,2048,8,ml,60,40.94520012338956,30079.195682799647,10.920903776910464
x86,2048,8,pi,23,34.62842602936121,18127.998399918466,9.236093790551223
x86,2048,8,titanic,10,19.09744275510311,12582.467090517332,5.093669931641102
x86,2048,8,video,80,52.748914293944836,48320.83504452466,14.069190420480968
x86,2048,9,ml,56,40.34808014877259,33899.33012521042,12.106844929440701
x86,2048,9,pi,23,30.657362714588132,18151.65735177999,9.199048256139314
x86,2048,9,titanic,10,16.33102467589908,12465.403881416489,4.900287264250278
x86,2048,9,video,80,52.18000325891707,54071.83209711493,15.657131777870658
x86,2048,10,ml,56,39.48808995825903,37096.564074357135,13.165329192083563
x86,2048,10,pi,24,27.751156024251664,19430.21587399478,9.252235418485505
x86,2048,10,titanic,10,14.258900482654573,12477.683365247583,4.753917420917034
x86,2048,10,video,80,51.280207535624506,59860.60263123632,17.096821192377213
x86,2048,12,ml,60,39.03820753759808,45260.57972765552,15.61840607164224
x86,2048,12,pi,24,23.00811069636118,19981.917460030247,9.20508492740018
x86,2048,12,titanic,10,11.048948832352956,12437.487330541991,4.420463448847771
x86,2048,12,video,84,43.57335960147558,68545.38312281096,17.432829709358348
x86,2048,16,ml,60,37.50650807619095,60891.50775122933,20.007471668163305
x86,2048,16,pi,24,17.23980158205543,22159.932486698806,9.196399755931651
x86,2048,16,titanic,10,7.67659285068512,13062.336379541326,4.095001690269471
x86,2048,16,video,80,48.03875533988079,98459.06056699074,25.625793648506008
x86,2048,20,ml,60,36.606688341299694,76770.27329685753,24.409339785978645
x86,2048,20,pi,25,13.89633655031522,24182.79184341249,9.26607721175019
x86,2048,20,titanic,10,5.867799799442292,13735.846076657008,3.912648906268121
x86,2048,20,video,80,45.494124724467596,124761.64129888761,30.33548236627499
x86,2048,24,ml,52,36.715531474504715,92869.79362036864,29.378299664639695
x86,2048,24,pi,26,11.601893252134323,28766.651323865408,9.283370904627802
x86,2048,24,titanic,10,4.640465543667475,14071.450330239652,3.713114909420968
x86,2048,24,video,80,45.13389826234844,150689.00020816977,36.11434003360073
x86,2048,28,ml,56,36.1782947790866,109923.81391523902,33.773161742172924
x86,2048,28,pi,26,9.907088863423892,30698.662250886755,9.248465595783472
x86,2048,28,titanic,10,3.943217781611851,15541.315013491225,3.681072663490296
x86,2048,28,video,80,50.339222877153325,168787.7684749031,46.992671340280175
